Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2016-12-26 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0249333150438681 72.3907186432757 100 0 0.75 0 -4.04998290373329e-07 NA 1.34186282062989e-07 NA 0.53049716252941 100 63.8715673321464 63.560699 0
2016-12-27 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0231523639693061 72.3907186432757 100 0 0.75 0 -3.31362237578178e-07 NA 1.09788776233355e-07 NA 0.491063568909104 100 63.8591325988605 63.560699 0
2016-12-28 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0214986236857842 72.3907186432756 100 0 0.75 0 -2.71114558018509e-07 NA 8.98271805545631e-08 NA 0.454569242354562 100 63.8471952549061 63.560699 0
2016-12-29 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0199630077082282 72.3907186432756 100 0 0.75 0 -2.21821002015144e-07 NA 7.34949659082789e-08 NA 0.420794062264965 100 63.8357354047098 63.560699 0
2016-12-30 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0185370785862119 72.3907186432756 100 0 0.75 0 -1.81489910739663e-07 NA 6.01322448340464e-08 NA 0.389534523268116 100 63.8247339485214 63.560699 0
2017-01-03 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0172130015443396 72.3907186432756 100 0 0.75 0 -1.48491745150634e-07 NA 4.91991094096743e-08 NA 0.360602465187637 100 63.8141725505806 63.560699 0
2017-01-04 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0159835014340296 72.3907186432756 100 0 0.75 0 -1.21493246032337e-07 NA 4.02538167897335e-08 NA 0.333823901915924 100 63.8040336085574 63.560699 0
2017-01-05 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0148418227601704 72.3907186432757 100 0 0.75 0 -9.94035649355481e-08 NA 3.2934941009782e-08 NA 0.30903794130026 100 63.7943002242151 63.560699 0
2017-01-06 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0137816925630153 72.3907186432756 100 0 0.75 0 -8.13301894927211e-08 NA 2.69467699170943e-08 NA 0.286095788795113 100 63.7849561752465 63.560699 0
2017-01-09 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0127972859513714 72.3907186432756 100 0 0.75 0 -6.65428823122264e-08 NA 2.20473572048954e-08 NA 0.264859828225898 100 63.7759858882366 63.560699 0
2017-01-10 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.011883194097702 72.3907186432756 100 0 0.75 0 -5.44441764372761e-08 NA 1.80387468040053e-08 NA 0.245202773552861 100 63.7673744127071 63.560699 0
2017-01-11 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0110343945192947 72.3907186432756 100 0 0.75 0 -4.45452352668623e-08 NA 1.47589746578225e-08 NA 0.22700688602177 100 63.7591073961989 63.560699 0
2017-01-12 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0102462234822022 72.3907186432756 100 0 0.75 0 -3.64461015819782e-08 NA 1.20755247200366e-08 NA 0.210163251544785 100 63.7511710603509 63.560699 0
2017-01-13 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00951435037633066 72.3907186432756 100 0 0.75 0 -2.98195376579822e-08 NA 9.87997477093903e-09 NA 0.194571113573361 100 63.7435521779369 63.560699 0
2017-01-16 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00883475392087847 72.3907186432756 100 0 0.75 0 -2.43978035383491e-08 NA 8.08361572167739e-09 NA 0.180137257108784 100 63.7362380508194 63.560699 0
